"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",11.2875920578921,1.46822266119472,0.864059733667356,1.69921430658862,0.0892788117250095,0.251466126743278
"LOC729737",0.827229403528426,0.432862779827348,2.63426061528835,0.164320408282749,0.869478916572052,NA
"LOC100133331",2.92946853859114,-2.55687506325587,1.48894599722409,-1.71723827997978,0.0859356439220393,NA
"LOC100288069",0.161677757487436,1.06032355345518,5.64485631601169,0.1878388915671,0.851002947314611,NA
"LINC00115",5.63791128790859,-0.929078828935158,1.40339715789001,-0.662021312863437,0.50795756280284,NA
"LINC01128",14.0115045522156,0.0121869294506122,0.73354664556592,0.0166137075594016,0.986744789016924,0.993259838231632
"LINC02593",3.2648829566745,-2.81286519743289,1.43881820668545,-1.95498304397522,0.0505850716484471,NA
"SAMD11",11.5292645667998,2.68491353376737,0.760482550942005,3.53053930092358,0.000414713399144588,0.00743220170411436
"NOC2L",102.47067372412,-0.910641791153174,0.464524082357087,-1.96037584646289,0.0499518768296556,0.174831568903795
"KLHL17",17.3207213062376,0.26805582096115,0.728042139085064,0.368187233362643,0.712733629056941,0.843898407451698
"PLEKHN1",6.8697960533128,-1.33166482838605,1.30409100426356,-1.02114409503044,0.307186174367469,NA
"PERM1",2.37352673898891,0.573219711697751,1.70918902923661,0.335375258027354,0.737342029545821,NA
"HES4",9.36480996835079,0.887672697803826,0.8528102473408,1.04087949291385,0.297931480389364,0.527050982182214
"ISG15",11.1282425628502,-1.4878107427627,1.08892155440993,-1.36631581654101,0.171839858734887,0.3769681241792
"AGRN",472.729475381004,0.999159539836552,0.818138726301377,1.22125931424067,0.22198785275889,0.442100438805498
"LOC100288175",50.9219305316492,2.25939589991631,0.85720412558801,2.63577347853576,0.00839457501427648,0.0546141174458223
"C1orf159",17.8318446326732,-0.344667191576839,0.529757946547238,-0.650612593587788,0.515296598814269,0.715891781556419
"SDF4",268.980641664825,0.102800881128748,0.406292265378835,0.25302199891227,0.800251213519673,0.896951775176523
"B3GALT6",39.5423569436177,0.715104256395141,0.443549563078242,1.61223077626839,0.106911730472208,0.281470398089718
"C1QTNF12",1.75687519823926,1.38641705178087,2.00915798459111,0.690048797761924,0.490163500742968,NA
"UBE2J2",68.7602497284074,-0.0474454724795798,0.466534584608641,-0.101697653389148,0.91899666481446,0.961382602332251
"SCNN1D",6.18404703459958,-0.21074170674579,0.973785380273008,-0.216414942157693,0.828664320078096,NA
"ACAP3",91.7424408870164,-1.26965698412837,0.549415651116164,-2.31092248928293,0.0208371366102808,0.0997451226113732
"SNORD167",0.999671998667385,3.46576714190925,3.45755850670571,1.00237411317484,0.316162939938648,NA
