"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",11.2875920578921,-1.46821145066182,0.86405918579855,-1.69920240973414,0.0892810525142883,0.25147243823634
"LOC729737",0.827229403528426,-0.432900011069231,2.63423236698299,-0.164336304000787,0.869466403717123,NA
"LOC100133331",2.92946853859114,2.55684137715021,1.48892098681876,1.71724450107536,0.0859345077148597,NA
"LOC100288069",0.161677757487436,-1.06033285947112,5.64481234587681,-0.187842003329948,0.851000507905047,NA
"LINC00115",5.63791128790859,0.929070424634203,1.40338068358437,0.662023095729994,0.507956420216465,NA
"LINC01128",14.0115045522156,-0.0121878188787622,0.733544895295015,-0.0166149597072181,0.986743790085393,0.993286486415218
"LINC02593",3.2648829566745,2.81282182074881,1.43879274013372,1.95498749909413,0.0505845457889972,NA
"SAMD11",11.5292645667998,-2.68490980012364,0.760482304786856,-3.53053553412548,0.000414719304396014,0.00743230753387487
"NOC2L",102.47067372412,0.910641901904799,0.464523829444487,1.96037715222019,0.0499517243228702,0.174831035130046
"KLHL17",17.3207213062376,-0.268050327134867,0.728041366516896,-0.36818007803221,0.712738964044961,0.843914144066313
"PLEKHN1",6.8697960533128,1.33163703657425,1.30407350381915,1.02113648707253,0.307189778350725,NA
"PERM1",2.37352673898891,-0.573272444656265,1.70916975427304,-0.335409893150194,0.737315906110001,NA
"HES4",9.36480996835079,-0.887660222412102,0.852809366041242,-1.0408659399845,0.297937771284388,0.527055683847747
"ISG15",11.1282425628502,1.48779573121899,1.08891075058628,1.36631558685406,0.171839930796149,0.376970261451369
"AGRN",472.729475381004,-0.999151326277264,0.818138698365518,-1.22124931661755,0.221991636922818,0.44209788235542
"LOC100288175",50.9219305316492,-2.25939666789768,0.85720328407869,-2.63577696196771,0.00839448884390313,0.054613556831511
"C1orf159",17.8318446326732,0.344669973464081,0.529757407235047,0.650618507182393,0.515292780487833,0.715886476827995
"SDF4",268.980641664825,-0.102799633878217,0.406292220327216,-0.253018957132442,0.800253564051895,0.896954409741787
"B3GALT6",39.5423569436177,-0.715102304736328,0.443549406949392,-1.61222694367827,0.106912564164037,0.281472592980494
"C1QTNF12",1.75687519823926,-1.38643100321112,2.00914359954267,-0.690060682335846,0.49015602725272,NA
"UBE2J2",68.7602497284074,0.0474454054136589,0.46653425774139,0.101697580887959,0.91899672236367,0.961382662535744
"SCNN1D",6.18404703459958,0.21075882082492,0.973783673137045,0.216432896380322,0.828650326278827,NA
"ACAP3",91.7424408870164,1.26965650933651,0.54941501167754,2.31092431468125,0.0208370357658884,0.0997452595461767
"SNORD167",0.999671998667385,-3.46571436901146,3.45757424734146,-1.00235428687504,0.31617251202299,NA
"PUSL1",15.5625954504167,0.795499622946148,0.774354187983058,1.02730718744889,0.304275839031018,0.534173139632232
"INTS11",85.2116145423033,0.238287814354252,0.399084047144041,0.597086794271802,0.550449434183127,0.73991827592923
"CPTP",24.3944487165891,0.222564850047974,0.556954323328297,0.399610597720026,0.689443349574753,0.830119815304469
"TAS1R3",1.80752106343895,-1.96958603754383,1.73261320499244,-1.13677191878058,0.255633645318831,NA
"DVL1",113.488665241251,-1.74079968989339,0.500606678643336,-3.47738007533385,0.000506339502656496,0.00853428250268489
"MXRA8",10.2519822922125,0.332540077775604,0.942809865638199,0.352711707731764,0.724304581282557,0.852309751172717
"AURKAIP1",98.4035963952437,-0.807635068241189,0.462735188938424,-1.74535044567069,0.0809238859067376,0.236658042567349
"CCNL2",176.365871154829,0.0602956372559956,0.382389540170481,0.15768118874045,0.874708024250468,0.938902327906525
"LOC148413",26.9532038789407,-0.369453669712601,0.486448137649673,-0.759492412691016,0.447558051072285,0.661342619557507
"MRPL20",90.7659898554144,-0.367300805541768,0.495646383238555,-0.741054142555876,0.458660612750186,0.670697173983251
"VWA1",25.769794446892,-1.11439497082692,0.641785404895096,-1.73639812050428,0.0824934643679024,0.239319660680602
"ATAD3B",2.67102763122135,1.50265692968654,1.35512056727965,1.10887323679476,0.267484870801774,NA
"ATAD3A",40.3213745565421,0.72750696851694,0.557812755756312,1.30421357527142,0.192160772561127,0.404830478495438
"TMEM240",0.364594245829719,0.929377034846772,3.00443377107889,0.309335171170384,0.757066579305434,NA
"SSU72",205.707960575265,-0.201059405340881,0.323466481065269,-0.621577248680399,0.534219884994783,0.728805796883732
"FNDC10",8.73974872528769,1.66378065006728,0.927435491658552,1.79395835616762,0.0728198159364662,0.221666191997426
"MIB2",42.9861412755522,-0.609184638054729,0.764463893817665,-0.796878234513489,0.425521752819786,0.645452470676094
"CDK11B",62.1194199165836,1.00695721223559,0.60729370836038,1.65810578699103,0.0972961160562929,0.26535927566034
"SLC35E2B",51.9146426969214,1.27095579842007,0.547783702871961,2.32017818667589,0.0203312401077147,0.0982140979080245
"CDK11A",49.8915945039121,0.568123171499992,0.652969598811778,0.870060677455454,0.384267245529069,0.609865190669795
"SLC35E2A",19.7184627703965,0.741338362003809,0.730632741208372,1.01465253360769,0.310271487989286,0.540308779819362
"NADK",87.8442966613823,0.0318185788162085,0.419836831206962,0.0757879643973477,0.939587791604337,0.972005701935059
"GNB1",471.183507668498,-0.242539546754296,0.255441453126734,-0.949491728086762,0.342370577133308,0.572079066510663
"CALML6",0.22826103419672,-0.0768409667879723,4.68856153700297,-0.0163890281020159,0.986924032881447,NA
"TMEM52",0.232885534061855,-1.66082138174079,3.61282851425239,-0.459701138647725,0.645730752119056,NA
"GABRD",0.204577039418333,-0.658919144547672,7.08712888956241,-0.0929740597095809,0.925924169293241,NA
"PRKCZ",17.0790952330357,0.362501779761107,0.848718069552038,0.42711683981518,0.669294228028949,0.817901070198903
"PRKCZ-AS1",4.37669298237434,-1.46054779663189,1.3500425585206,-1.0818531515276,0.279317784556341,NA
"FAAP20",25.6747111650181,-0.242856385426595,0.577070702786656,-0.420843380635769,0.673869451945884,0.819954520688134
"SKI",61.7031019488616,0.417667331660613,0.683987518457919,0.610635896693354,0.541440652642193,0.733179838984816
"MORN1",7.82617638763138,2.464490382011,1.13172722697908,2.17763638026935,0.0294331188056371,0.125895693808421
"LOC100129534",2.79648490909397,0.502706653549661,1.31471242042034,0.382370049709377,0.702186902504243,NA
"RER1",144.569441998106,0.0932901474243441,0.2945260402377,0.316746686809266,0.751435820402575,0.868646643672616
"PEX10",25.2726514862021,-1.0065300184515,0.517041737255774,-1.94670941613671,0.0515695820956869,0.178343524978324
"PLCH2",0.348840317079689,-2.22582207392507,4.68900369334102,-0.474689767697565,0.635008112222556,NA
"PANK4",21.4249909400767,0.936862369599087,0.6687044693665,1.40101107816227,0.16121076036496,0.362577422429737
"PRXL2B",0.457022856521576,1.35220133683941,3.26526677223356,0.414116649928255,0.678788679690268,NA
"TTC34",0.396536912090521,-3.78963501993461,6.05495561331979,-0.625873294859192,0.531398051986853,NA
"PRDM16",41.3002850587061,-2.94966811317521,1.84888601566904,-1.59537585777447,0.110628211387421,0.287732456627575
"ARHGEF16",10.1670844690703,0.251746413741205,0.799710349883301,0.314796993408853,0.752915794679123,0.869578430990418
"MEGF6",21.0666104892755,-1.55981960683987,0.761487493118282,-2.04838506336123,0.0405222839314999,0.152770437450954
"TPRG1L",61.1330402628981,-0.263136508753789,0.425662723711547,-0.618180766357416,0.53645618707478,0.730164496295162
"WRAP73",23.4927643548228,0.794969283224269,0.543563117474586,1.46251512964626,0.143600101431856,0.338673431748201
"TP73",1.64697723492778,2.2679337761861,1.88637621290687,1.20227013077697,0.229258885513609,NA
"TP73-AS1",26.4876291206945,1.19945458611323,0.673729663497732,1.78032028437956,0.0750235593195956,0.225738912040076
"SMIM1",0.386332021041552,-0.646709882771075,3.62368634479335,-0.178467400662392,0.858355920684706,NA
"LRRC47",63.2024135884046,-0.419429970960461,0.451256493266657,-0.929471325551899,0.352644878840438,0.581713775280399
"CEP104",60.8087823726371,0.189669758702369,0.480844530372609,0.394451317883127,0.693247862316026,0.831900193677032
"DFFB",4.68293949203904,0.800708482880812,1.10807772453852,0.722610395596826,0.469919279665355,NA
"C1orf174",25.3319037386725,1.13040769623297,0.527724903593638,2.14203970389734,0.0321902872030518,0.133509216174657
"LINC01134",0.738979681996471,-2.86306734261239,2.96825426104284,-0.96456269942539,0.334763889796384,NA
"NPHP4",22.6766094664615,1.08779544080336,0.805552759958334,1.35037144042511,0.176896867042457,0.383551776879024
