"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",11.2875920578921,1.98193862504538,0.978960810632602,2.02453316161314,0.0429153234908341,0.0747540207593703
"LOC729737",0.827229403528426,4.03245628977606,2.67323119180787,1.50845774287445,0.131437414036331,0.196441443555405
"LOC100133331",2.92946853859114,0.954234918681501,1.42110476086115,0.671474014416263,0.501918608096175,0.590112497822212
"LOC100288069",0.161677757487436,3.10922001079071,5.70306939627287,0.545183618635726,0.585627236927525,NA
"LINC00115",5.63791128790859,5.34857457969939,1.1037373991165,4.8458760063587,1.26054228428006e-06,4.85762324438446e-06
"LINC01128",14.0115045522156,1.96914623565748,0.710306374640658,2.77224913918823,0.00556704103952991,0.0121137939391761
"LINC02593",3.2648829566745,0.397452491358478,1.48125165829551,0.268322056642172,0.788451429771347,0.836040605240272
"SAMD11",11.5292645667998,1.03540400794139,1.00252633015813,1.03279482722222,0.301699925000751,0.389508673643833
"NOC2L",102.47067372412,0.518394472223927,0.481939150141642,1.0756429978174,0.282086949620217,0.36859994342465
"KLHL17",17.3207213062376,2.02514304698404,0.769705852701618,2.63106099541262,0.00851187577224382,0.0177483123983548
"PLEKHN1",6.8697960533128,2.77287552593773,1.0817245829806,2.56338403468406,0.0103657322129357,0.0211481635926026
"PERM1",2.37352673898891,2.66603808841723,1.62214392789736,1.64352745928838,0.100273848793806,0.155865566186348
"HES4",9.36480996835079,-0.442061922171244,1.40602932702043,-0.314404481952047,0.753213852517327,0.807248729087695
"ISG15",11.1282425628502,2.93331697312415,0.771560668521943,3.80179691992779,0.000143650451934699,0.00042124084564688
"AGRN",472.729475381004,1.6190615350248,0.822240463803598,1.96908520840143,0.0489433071219131,0.0839043558453815
"LOC100288175",50.9219305316492,6.01860566487989,0.750855967678154,8.01565935939886,1.09547727944766e-15,1.01750969795587e-14
"C1orf159",17.8318446326732,-1.33986335655554,1.07620072082966,-1.24499392225144,0.213133984325827,0.293619336164295
"SDF4",268.980641664825,1.09374207153733,0.415114288380621,2.63479745735581,0.0084187502410424,0.017577734773244
"B3GALT6",39.5423569436177,-1.6252625559186,0.926768918105986,-1.75368694845756,0.0794841631320228,0.127717439569614
"C1QTNF12",1.75687519823926,1.44618202688485,2.03874674244307,0.709348540835367,0.478108212822477,0.567705523750521
"UBE2J2",68.7602497284074,3.08175234355349,0.423321844116245,7.27992752178231,3.33999569487864e-13,2.50217718965101e-12
"SCNN1D",6.18404703459958,-0.160159783062173,1.46339745674266,-0.109443803065415,0.912850492564176,0.934611687709901
"ACAP3",91.7424408870164,4.28324424258806,0.476689126589728,8.98540370163407,2.57786170023031e-19,3.3306316309964e-18
"SNORD167",0.999671998667385,4.61639246489007,3.55456873474635,1.29872083208415,0.194039752190114,0.271578708679927
"PUSL1",15.5625954504167,-1.12472411443097,1.1927029854042,-0.943004359169779,0.345678673230516,0.434863490908863
"INTS11",85.2116145423033,0.608650443165006,0.44396210254226,1.37095134850405,0.170390122763958,0.244043032972818
"CPTP",24.3944487165891,-1.96471286345014,1.10841650253558,-1.77254024904512,0.0763049202214931,0.123362004064104
