"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",11.2875920578921,0.327134675620434,1.07388374510876,0.304627644389294,0.76064976294204,0.844707183808907
"LOC729737",0.827229403528426,2.20136458748166,2.74377934152881,0.802311087543606,0.422373030339634,NA
"LOC100133331",2.92946853859114,-0.153291438038982,1.55345992239607,-0.0986774334046187,0.921394386935598,0.954213054368923
"LOC100288069",0.161677757487436,0.375646605571545,5.70986499331246,0.0657890521074511,0.94754577250587,NA
"LINC00115",5.63791128790859,2.19494259096692,1.16161261731419,1.8895650393691,0.0588161565802148,0.137567644589671
"LINC01128",14.0115045522156,1.09598817499807,0.825615185035139,1.32748064093736,0.184349739653855,0.319323522712515
"LINC02593",3.2648829566745,-0.669967307728136,1.61462291430955,-0.414937321767558,0.678187787440144,0.78414757652605
"SAMD11",11.5292645667998,-0.49411748951077,1.08846292946993,-0.453958950858714,0.649858372248086,0.761686198037767
"NOC2L",102.47067372412,-0.513786968574302,0.513846475050768,-0.999884194055314,0.317366554404666,0.472329965591213
"KLHL17",17.3207213062376,0.183355089784503,0.835435259519236,0.219472529672757,0.82628197637685,0.888976414867128
"PLEKHN1",6.8697960533128,-1.45259511485822,1.08231624999321,-1.34211707055801,0.179558039759951,0.31312005493606
"PERM1",2.37352673898891,-0.797296725675742,1.6531500959821,-0.482289374457609,0.629600394392779,0.746411863965781
"HES4",9.36480996835079,-3.59290129228077,1.42922569401771,-2.51387958341326,0.0119411198098763,0.0404873586527593
"ISG15",11.1282425628502,3.38454395540998,1.02196211430251,3.31180961411661,0.000926946051950427,0.00522200901094732
"AGRN",472.729475381004,-0.588797702671562,0.826223108359304,-0.712637660111908,0.476070001415811,0.623191191454925
"LOC100288175",50.9219305316492,1.96051952059578,0.759898580311636,2.57997523800053,0.00988073998437415,0.0347651960260334
"C1orf159",17.8318446326732,-2.09573758577549,1.12587908874111,-1.86142331510821,0.0626844206051214,0.144236436683771
"SDF4",268.980641664825,-0.179453164813088,0.431601093484521,-0.415784777939919,0.677567498534957,0.783560750094761
"B3GALT6",39.5423569436177,-2.6051912624727,0.960085181444122,-2.71350012772207,0.00665765425698449,0.0255010728756566
"C1QTNF12",1.75687519823926,-0.493989881303841,2.14273769815758,-0.230541461854429,0.817671049117961,NA
"UBE2J2",68.7602497284074,1.10083906267441,0.457387503893143,2.4067974164235,0.0160930941869233,0.0508900621182843
"SCNN1D",6.18404703459958,-1.73446299693819,1.55045021111141,-1.11868345368851,0.263275206554042,0.412420967165022
"ACAP3",91.7424408870164,1.42758971581232,0.497480351180643,2.86964040373515,0.00410938844538891,0.0173890279588667
"SNORD167",0.999671998667385,-0.486196918367741,3.50198824212608,-0.138834537626136,0.889580901187099,NA
"PUSL1",15.5625954504167,-2.29294631263713,1.24516100209116,-1.84148580688464,0.0655503986121357,0.149397162481102
"INTS11",85.2116145423033,-0.916631226050439,0.471702281300989,-1.94324102805334,0.0519870430305437,0.125654943311043
"CPTP",24.3944487165891,-1.2154220860181,1.19970615334589,-1.01309981834167,0.31101248505243,0.465731226943074
"TAS1R3",1.80752106343895,-0.673666632934194,2.07908241335077,-0.32402112999863,0.745922037074346,NA
"DVL1",113.488665241251,-1.66611617433625,0.599887240228646,-2.77738225220662,0.00547986909776456,0.0217971438811482
"MXRA8",10.2519822922125,-0.0888347898879833,1.30859259703879,-0.0678857499950766,0.945876582439469,0.970475481277921
"AURKAIP1",98.4035963952437,-0.751534181679204,0.787273333972674,-0.954603883109915,0.339778052726904,0.494810337985266
"CCNL2",176.365871154829,-0.00618235445353416,0.408909831673294,-0.0151191142268099,0.987937151756783,0.992866478784855
"LOC148413",26.9532038789407,-0.480287659666332,0.65856667203069,-0.72929238612298,0.465822828692055,0.614357388354137
"MRPL20",90.7659898554144,-0.574312338238377,0.672661193369941,-0.853791394388534,0.39322058351295,0.54677135264262
"VWA1",25.769794446892,-2.54846521849237,1.42954037686847,-1.78271650086233,0.074632463895073,0.164289600648074
"ATAD3B",2.67102763122135,-1.6355014556603,1.62081667141678,-1.00906011426368,0.312945805095611,0.467698319553103
"ATAD3A",40.3213745565421,-0.700642747818147,0.686438325577566,-1.02069293294285,0.307399943799235,0.461664622749273
"TMEM240",0.364594245829719,0.446102867329622,3.18310192750268,0.140147214098046,0.8885436772158,NA
"SSU72",205.707960575265,2.38140443276947,0.343262874642731,6.93755313693053,3.98949287753938e-12,3.15033931886604e-10
"FNDC10",8.73974872528769,-2.64868269549505,1.45042883169118,-1.82613764813729,0.0678295305206289,0.153084575377671
"MIB2",42.9861412755522,0.107408407309508,0.760945852591165,0.141151183022763,0.887750510165191,0.930955752680588
"CDK11B",62.1194199165836,1.56624272404959,0.53120171694639,2.94848957389131,0.0031933091089464,0.0143451351951344
"SLC35E2B",51.9146426969214,0.383766599418932,0.506502099287102,0.757680175381465,0.448642469867755,0.598215337723604
"CDK11A",49.8915945039121,1.51377311240339,0.546871201143479,2.76806149096564,0.00563908149630562,0.0222458003507396
"SLC35E2A",19.7184627703965,1.17811337496377,0.811220254936739,1.45227312532481,0.146425676968449,0.269503914515628
"NADK",87.8442966613823,-0.0750516109179288,0.461066640671838,-0.162778228345838,0.870693050881204,0.918682965468188
"GNB1",471.183507668498,0.867426811969342,0.273236056274367,3.1746425555869,0.00150021179247475,0.007782733666224
"CALML6",0.22826103419672,-0.151063089631166,4.78378413789846,-0.0315781576418556,0.974808462378278,NA
"TMEM52",0.232885534061855,0.420183182228813,3.67732730384834,0.114263199196082,0.909029154174856,NA
"GABRD",0.204577039418333,0.364728978251732,7.14769497077486,0.0510274962408186,0.959303610251974,NA
"PRKCZ",17.0790952330357,0.930950445654384,0.830176356018912,1.12138877348752,0.262122412730918,0.41114379068325
