"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",11.2875920578921,-0.0370021161130848,0.829601775326616,-0.0446022624511827,0.964424339281046,0.998499208455988
"LOC729737",0.827229403528426,-1.50205195276266,2.49648768915843,-0.601666076418347,0.547396435503825,NA
"LOC100133331",2.92946853859114,0.557423938185165,1.01747037442605,0.547852745589379,0.583793017863426,0.973025822476356
"LOC100288069",0.161677757487436,-0.0734903007639393,5.64749357011232,-0.0130129056105287,0.989617496544438,NA
"LINC00115",5.63791128790859,0.182600349159802,1.11026066194792,0.164466197369756,0.869364154960342,0.994401770043433
"LINC01128",14.0115045522156,-0.546508727161229,0.580569190207208,-0.941332637658876,0.346534422234827,0.934366605148111
"LINC02593",3.2648829566745,-0.0199842421646656,0.941388620994309,-0.0212284721941486,0.983063401870511,0.999370251143012
"SAMD11",11.5292645667998,0.569938356636059,0.722295608099726,0.789065239003044,0.430073877351237,0.950510454983032
"NOC2L",102.47067372412,-0.4836041852935,0.414356815690486,-1.1671201413391,0.243161855032974,0.913656545933031
"KLHL17",17.3207213062376,-0.412731055300401,0.657160208271538,-0.628052414168482,0.529969604579361,0.966714228928565
"PLEKHN1",6.8697960533128,-0.586568585854807,0.874104746809735,-0.671050681277772,0.502188243719408,0.962960650729947
"PERM1",2.37352673898891,-0.102824934011364,1.31148978087491,-0.0784031530484124,0.937507365483938,NA
"HES4",9.36480996835079,0.497948682001222,0.809237714109279,0.615330542953389,0.538336450801989,0.967317292755435
"ISG15",11.1282425628502,0.963230351276911,0.720261155267516,1.33733486004691,0.181113356884342,0.899593914091083
"AGRN",472.729475381004,-0.222031979653164,0.816174876947714,-0.272039713453944,0.785591483499153,0.994401770043433
"LOC100288175",50.9219305316492,1.07853967878474,0.774388584786321,1.39276288413051,0.163691505557888,0.892372736972184
"C1orf159",17.8318446326732,-0.135387261652023,0.428695342007968,-0.31581229928434,0.752144982066137,0.993003121203044
"SDF4",268.980641664825,-0.30351385745552,0.393323562302111,-0.771664569696923,0.440313120375611,0.950605714550683
"B3GALT6",39.5423569436177,-0.354354544637356,0.401600014485567,-0.882356902031661,0.377583834216257,0.938673669923362
"C1QTNF12",1.75687519823926,4.8978038086453,2.0437238717993,2.39650956581197,0.0165520614355462,NA
"UBE2J2",68.7602497284074,-0.233854994744521,0.398937696620506,-0.58619427726575,0.557744966961591,0.970312309925123
"SCNN1D",6.18404703459958,-0.475388453195576,0.894786710003957,-0.531286895391499,0.595219985062451,0.975650321844181
"ACAP3",91.7424408870164,-0.549593521824004,0.466840072095085,-1.17726295293705,0.23909056880247,0.913656545933031
"SNORD167",0.999671998667385,-1.56128014069169,3.46586495207469,-0.450473449566202,0.652369094284228,NA
"PUSL1",15.5625954504167,-0.0129817386479081,0.647006468050003,-0.0200643104651388,0.983992070533431,0.999438187022019
"INTS11",85.2116145423033,-0.286669579032658,0.355176038400661,-0.807119704143095,0.419597520914025,0.946688590981381
